"Sample_ID","OD","TSSR","BCR"
"bam-ak_m:AK_YC:192:2_12:2000-6-12T17:19:0Z:65.5:-143.64",163,6.93573749727673,4
"bam-ak_m:AK_YC:192:2_2:2000-6-12T11:19:0Z:65.52:-143.63",163,0.952917400962777,4
"bam-ak_m:AK_YC:192:2_3:2000-6-12T11:53:0Z:65.52:-143.63",163,1.51958406762944,4
"bam-ak_m:AK_YC:192:2_4:2000-6-12T12:37:0Z:65.52:-143.63",163,2.25291740096278,4
"bam-ak_m:AK_YC:192:2_5:2000-6-12T13:20:0Z:65.52:-143.63",163,2.96958406762944,4
"bam-ak_m:AK_YC:192:2_6:2000-6-12T14:7:0Z:65.51:-143.63",163,3.74461500525475,4
"bam-ak_m:AK_YC:192:2_7:2000-6-12T14:46:0Z:65.51:-143.64",163,4.39394962628682,4
"bam-ak_m:AK_YC:192:2_8:2000-6-12T15:27:0Z:65.51:-143.64",163,5.07728295962016,4
"bam-ak_m:AK_YC:192:2_9:2000-6-12T16:1:0Z:65.51:-143.64",163,5.64394962628682,4
"bam-ak_m:AK_YC:224:1_1:1999-6-9T10:50:0Z:65.41:-143.2",159,0.237581811083688,4
"bam-ak_m:AK_YC:224:1_10:1999-6-9T15:12:0Z:65.39:-143.18",159,4.59343916945987,4
"bam-ak_m:AK_YC:224:1_11:1999-6-9T16:10:0Z:65.39:-143.18",159,5.56010583612654,4
"bam-ak_m:AK_YC:224:1_12:1999-6-9T16:41:0Z:65.39:-143.18",159,6.07677250279321,4
"bam-ak_m:AK_YC:224:1_2:1999-6-9T11:15:0Z:65.41:-143.19",159,0.654913755787743,4
"bam-ak_m:AK_YC:224:1_3:1999-6-9T11:46:0Z:65.41:-143.19",159,1.17158042245441,4
"bam-ak_m:AK_YC:224:1_4:1999-6-9T12:10:0Z:65.41:-143.19",159,1.57158042245441,4
"bam-ak_m:AK_YC:224:1_5:1999-6-9T12:38:0Z:65.41:-143.19",159,2.03824708912108,4
