"Sample_ID","JD","JD2","TSSR","TSSR2","BCR"
"mnbba:T101R10a:2009-06-16T13:45:0Z:43.5513953293492:-91.9994281239903",0.454794520547945,0.206838055920435,0.138045398995832,0.0190565321839185,23
"mnbba:T101R10a:2009-06-16T14:19:0Z:43.5799664025222:-92.0067148580716",0.454794520547945,0.206838055920435,0.161710518783441,0.0261502918852097,23
"mnbba:T101R10a:2009-06-16T14:3:0Z:43.5664448256362:-92.0065856332536",0.454794520547945,0.206838055920435,0.150564615905837,0.0226697035628722,23
"mnbba:T101R11a:2011-06-01T11:25:0Z:43.5840612728717:-92.1310010649427",0.413698630136986,0.171146556577219,0.0380124879518041,0.00144494924028605,23
"mnbba:T101R11a:2011-06-01T11:43:0Z:43.5626379306851:-92.1159426999538",0.413698630136986,0.171146556577219,0.0505027472255407,0.00255052747732685,23
"mnbba:T101R11a:2011-06-01T12:6:0Z:43.5599968293376:-92.129452004973",0.413698630136986,0.171146556577219,0.0664311044111296,0.0044130916332824,23
"mnbba:T101R12a:2011-06-01T12:33:0Z:43.5583777477651:-92.2108992827418",0.413698630136986,0.171146556577219,0.0849510489707744,0.0072166807212349,23
"mnbba:T101R12a:2011-06-01T12:46:0Z:43.5587816402675:-92.2152703123038",0.413698630136986,0.171146556577219,0.093967660723461,0.00882992126183948,23
"mnbba:T101R12a:2011-06-01T13:10:0Z:43.5800887603555:-92.2285355000557",0.413698630136986,0.171146556577219,0.110648759702841,0.0122431480237771,22
"mnbba:T101R13a:2011-06-01T14:35:0Z:43.5875964248361:-92.3360158779954",0.413698630136986,0.171146556577219,0.169396162609811,0.0286950599069296,22
"mnbba:T101R13a:2011-06-01T14:53:0Z:43.580443039729:-92.369818229931",0.413698630136986,0.171146556577219,0.181785078984168,0.0330458149412801,22
"mnbba:T101R13a:2011-06-01T15:4:0Z:43.5772765549554:-92.3692367090499",0.413698630136986,0.171146556577219,0.189417960856248,0.035879163894939,22
"mnbba:T101R14a:2011-05-30T11:58:0Z:43.5733369840256:-92.5023763141921",0.408219178082192,0.1666428973541,0.0591061789018137,0.0034935403843732,22
"mnbba:T101R14a:2011-05-30T12:10:0Z:43.5728998695273:-92.5067546654381",0.408219178082192,0.1666428973541,0.0674263207504043,0.0045463087299364,22
"mnbba:T101R14a:2011-05-30T12:36:0Z:43.5584805297103:-92.4922263159584",0.408219178082192,0.1666428973541,0.0854881056536127,0.00730821620824325,22
"mnbba:T101R15a:2011-05-30T11:22:0Z:43.5566237708273:-92.5887874125183",0.408219178082192,0.1666428973541,0.0338267097925698,0.00114424629539074,22
"mnbba:T101R15a:2011-05-30T11:37:0Z:43.5512802143682:-92.5885970816149",0.408219178082192,0.1666428973541,0.0442312700246219,0.00195640524799102,22
"mnbba:T101R15a:2011-05-30T11:7:0Z:43.5597945324781:-92.5882616636502",0.408219178082192,0.1666428973541,0.023419001535685,0.000548449632928415,22
"mnbba:T101R16a:2011-05-30T10:28:0Z:43.550782235757:-92.7483670961231",0.408219178082192,0.1666428973541,-0.00413019886723271,1.70585426828904e-05,22
"mnbba:T101R16a:2011-05-30T10:42:0Z:43.558062434267:-92.7239854227317",0.408219178082192,0.1666428973541,0.00567693716673939,3.22276155951071e-05,22
"mnbba:T101R16a:2011-05-30T10:5:0Z:43.5582466323858:-92.7111332333276",0.408219178082192,0.1666428973541,-0.0199813856819162,0.000399255773769484,22
"mnbba:T101R17a:2011-05-27T12:35:0Z:43.5492376507917:-92.848631283007",0.4,0.16,0.0824525631329528,0.00679842516719356,22
"mnbba:T101R17a:2011-05-27T12:7:0Z:43.5460213469249:-92.8485968339653",0.4,0.16,0.0630008223349297,0.00396910361487738,22
"mnbba:T101R17a:2011-05-27T13:6:0Z:43.5582832326134:-92.8661889399382",0.4,0.16,0.103952387469234,0.0108060988605538,22
"mnbba:T101R18a:2011-05-28T13:44:0Z:43.5795884381514:-92.9795689320168",0.402739726027397,0.162199286920623,0.130543385291541,0.0170415754433757,22
"mnbba:T101R18a:2011-05-28T14:10:0Z:43.5863355345688:-92.9794955909875",0.402739726027397,0.162199286920623,0.148614825818826,0.0220863664531599,22
"mnbba:T101R18a:2011-05-28T14:30:0Z:43.5870619111962:-92.9414756130415",0.402739726027397,0.162199286920623,0.162610966033406,0.0264423262743174,22
"mnbba:T101R19a:2011-05-27T13:13:0Z:43.5651408026336:-93.0759552869646",0.4,0.16,0.108246863318814,0.011717383418362,22
"mnbba:T101R19a:2011-05-27T13:31:0Z:43.565057570879:-93.0612385090003",0.4,0.16,0.12078753222194,0.0145896279402662,22
"mnbba:T101R19a:2011-05-27T13:50:0Z:43.5650300778824:-93.056270386956",0.4,0.16,0.133995707153722,0.017954849535626,22
"mnbba:T101R20a:2011-05-27T11:51:0Z:43.5713466805214:-93.1891970620016",0.4,0.16,0.0510022840234968,0.00260123297561344,22
"mnbba:T101R20a:2011-05-27T12:12:0Z:43.5682381682975:-93.1892150830154",0.4,0.16,0.0655784166880228,0.00430052873530795,22
"mnbba:T101R20a:2011-05-27T12:42:0Z:43.5435694730041:-93.2264262070514",0.4,0.16,0.0862517202976677,0.0074393592543071,22
"mnbba:T101R21a:2011-05-29T13:30:0Z:43.5611605731944:-93.3237653319934",0.405479452054795,0.164413586038656,0.120266207401399,0.0144639606427164,11
"mnbba:T101R21a:2011-05-29T13:50:0Z:43.5486418652439:-93.308787708985",0.405479452054795,0.164413586038656,0.134167345574609,0.0180008766185364,11
"mnbba:T101R21a:2011-05-29T14:4:0Z:43.5448132629726:-93.308896339041",0.405479452054795,0.164413586038656,0.143880296882104,0.0207015398308824,11
"mnbba:T101R22a:2011-05-29T12:22:0Z:43.5754531430234:-93.4193887649492",0.405479452054795,0.164413586038656,0.0728119915282285,0.00530158611030682,11
"mnbba:T101R22a:2011-05-29T12:41:0Z:43.5774694927143:-93.4442625659487",0.405479452054795,0.164413586038656,0.0859421012854135,0.00738604477335227,11
"mnbba:T101R22a:2011-05-29T13:3:0Z:43.5609950302169:-93.4135290610531",0.405479452054795,0.164413586038656,0.101266583298092,0.0102549208928693,11
"mnbba:T101R23a:2010-06-10T13:40:0Z:43.5578561863421:-93.576088087044",0.438356164383562,0.192156126853068,0.129924957233447,0.0168804945121129,11
"mnbba:T101R23a:2013-05-28T10:25:0Z:43.5622719987124:-93.5485830000413",0.402739726027397,0.162199286920623,-0.00904853508428291,8.18759871714987e-05,11
"mnbba:T101R23a:2013-05-28T10:39:0Z:43.5527609993299:-93.5485729999755",0.402739726027397,0.162199286920623,0.000651525932329672,4.24486040498049e-07,11
"mnbba:T101R23a:2013-05-28T11:0:0Z:43.553262998605:-93.5285009999246",0.402739726027397,0.162199286920623,0.0152917610605558,0.00023383795633313,11
"mnbba:T101R24a:2010-06-10T11:20:0Z:43.5866906680762:-93.6996986665048",0.438356164383562,0.192156126853068,0.0324329033687159,0.00105189322092446,11
"mnbba:T101R24a:2010-06-10T11:37:0Z:43.577617199976:-93.688151451946",0.438356164383562,0.192156126853068,0.0442473962047586,0.00195783207090088,11
"mnbba:T101R24a:2010-06-10T11:51:0Z:43.5720083508534:-93.6965486485538",0.438356164383562,0.192156126853068,0.0539319994079846,0.00290866056014285,11
"mnbba:T101R25a:2010-06-10T12:15:0Z:43.5768011796684:-93.7882594999861",0.438356164383562,0.192156126853068,0.0703561616275046,0.00494998947895555,11
"mnbba:T101R25a:2010-06-10T12:28:0Z:43.5722004762302:-93.7925119916338",0.438356164383562,0.192156126853068,0.0793604018180459,0.0062980733767217,11
"mnbba:T101R26a:2010-05-28T13:50:0Z:43.5707813072485:-93.9482351100392",0.402739726027397,0.162199286920623,0.132114140223022,0.0174541460468683,11
"mnbba:T101R26a:2010-05-28T14:21:0Z:43.5780570971129:-93.908257958375",0.402739726027397,0.162199286920623,0.15376986031455,0.0236451699411563,11
"mnbba:T101R26a:2010-05-28T14:5:0Z:43.5663246382005:-93.9481899580134",0.402739726027397,0.162199286920623,0.142520555497871,0.0203121087394219,11
"mnbba:T101R27a:2010-05-28T12:50:0Z:43.5481251133915:-94.0679084460346",0.402739726027397,0.162199286920623,0.0900624643514554,0.00811124748505717,11
"mnbba:T101R27a:2010-05-28T13:22:0Z:43.5723540081598:-94.0602992069706",0.402739726027397,0.162199286920623,0.112362209023149,0.0126252660165618,11
"mnbba:T101R27a:2010-05-28T13:5:0Z:43.5519610536174:-94.0678895220143",0.402739726027397,0.162199286920623,0.100488108462758,0.0100978599424229,11
"mnbba:T101R28a:2010-05-28T11:30:0Z:43.5725419547638:-94.1667196589811",0.402739726027397,0.162199286920623,0.0342893896334701,0.00117576224143593,11
"mnbba:T101R28a:2010-05-28T11:50:0Z:43.5579891489059:-94.17747041298",0.402739726027397,0.162199286920623,0.0481145487449787,0.00231500980093293,11
"mnbba:T101R28a:2010-05-28T12:15:0Z:43.5579745988489:-94.1832397539306",0.402739726027397,0.162199286920623,0.0654596072545758,0.00428496018192331,11
"mnbba:T101R29a:2011-05-27T13:12:0Z:43.5726407629761:-94.2765406239852",0.4,0.16,0.104236311562083,0.0108652086480677,11
"mnbba:T101R29a:2011-05-27T13:30:0Z:43.5726556822508:-94.2818485480049",0.4,0.16,0.116721608727067,0.0136239339438344,11
"mnbba:T101R29a:2011-05-27T13:45:0Z:43.5772108282937:-94.2878671739805",0.4,0.16,0.127132045855677,0.0161625570834499,11
"mnbba:T101R30a:2011-05-27T12:25:0Z:43.5795743571853:-94.377901554008",0.4,0.16,0.0713319537761035,0.00508824762951616,11
"mnbba:T101R30a:2011-05-27T12:42:0Z:43.5692553957103:-94.3778960219831",0.4,0.16,0.0831137824251696,0.00690790082901843,11
"mnbba:T101R30a:2011-05-27T12:5:0Z:43.586799976326:-94.3684149160213",0.4,0.16,0.0574860348028165,0.00330464419735063,11
"mnbba:T101R31a:2011-05-28T10:15:0Z:43.5808651694842:-94.5324289800194",0.402739726027397,0.162199286920623,-0.0189040691267561,0.000357363829549173,11
"mnbba:T101R31a:2011-05-28T10:31:0Z:43.5758414756953:-94.5325455719342",0.402739726027397,0.162199286920623,-0.00780495594221133,6.09173372598599e-05,11
"mnbba:T101R31a:2011-05-28T10:45:0Z:43.5689868396692:-94.5325731490018",0.402739726027397,0.162199286920623,0.0019012644831781,3.6148066349945e-06,11
"mnbba:T101R32a:2011-05-28T11:10:0Z:43.5586682142265:-94.617270016935",0.402739726027397,0.162199286920623,0.019003248879755,0.000361123467985909,11
