"Sample_ID","JD","TSSR"
"bam-mn_m:MNBBA:T101R28a:1:10:2010-5-28T7:15:00Z",147,-3.4038186290529
"bam-mn_m:MNBBA:T101R28a:2:10:2010-5-28T6:50:00Z",147,-3.82048529571957
"bam-mn_m:MNBBA:T101R28a:3:10:2010-5-28T6:30:00Z",147,-4.1538186290529
"bam-mn_m:MNBBA:T101R29a:1:11:2011-5-27T8:30:00Z",146,-2.16920124053955
"bam-mn_m:MNBBA:T101R29a:2:11:2011-5-27T8:45:00Z",146,-1.91920124053955
"bam-mn_m:MNBBA:T101R29a:3:11:2011-5-27T8:12:00Z",146,-2.46920124053955
"bam-mn_m:MNBBA:T101R30a:1:11:2011-5-27T7:42:00Z",146,-2.96920124053955
"bam-mn_m:MNBBA:T101R30a:2:11:2011-5-27T7:25:00Z",146,-3.25253457387288
"bam-mn_m:MNBBA:T101R30a:3:11:2011-5-27T7:5:00Z",146,-3.58586790720622
"bam-mn_m:MNBBA:T101R31a:1:11:2011-5-28T5:15:00Z",147,-5.40683369663027
"bam-mn_m:MNBBA:T101R31a:2:11:2011-5-28T5:45:00Z",147,-4.90683369663027
"bam-mn_m:MNBBA:T101R31a:3:11:2011-5-28T5:31:00Z",147,-5.1401670299636
"bam-mn_m:MNBBA:T101R32a:1:11:2011-5-28T6:40:00Z",147,-3.9901670299636
"bam-mn_m:MNBBA:T101R32a:2:11:2011-5-28T6:25:00Z",147,-4.2401670299636
"bam-mn_m:MNBBA:T101R32a:3:11:2011-5-28T6:10:00Z",147,-4.4901670299636
"bam-mn_m:MNBBA:T101R33a:1:11:2011-5-28T7:23:00Z",147,-3.27350036329693
"bam-mn_m:MNBBA:T101R33a:2:11:2011-5-28T7:10:00Z",147,-3.4901670299636
"bam-mn_m:MNBBA:T101R33a:3:11:2011-5-28T7:41:00Z",147,-2.97350036329693
"bam-mn_m:MNBBA:T101R34a:1:11:2011-5-28T8:15:00Z",147,-2.40683369663027
"bam-mn_m:MNBBA:T101R34a:2:11:2011-5-28T8:43:00Z",147,-1.9401670299636
"bam-mn_m:MNBBA:T101R34a:3:11:2011-5-28T8:0:00Z",147,-2.65683369663027
"bam-mn_m:MNBBA:T101R35a:1:10:2010-6-16T9:10:00Z",166,-1.37646854877472
"bam-mn_m:MNBBA:T101R35a:2:10:2010-6-16T8:55:00Z",166,-1.62646854877472
"bam-mn_m:MNBBA:T101R35a:3:10:2010-6-16T9:23:00Z",166,-1.15980188210805
"bam-mn_m:MNBBA:T101R36a:1:10:2010-6-16T8:15:00Z",166,-2.29313521544139
"bam-mn_m:MNBBA:T101R36a:2:10:2010-6-16T8:27:00Z",166,-2.09313521544139
"bam-mn_m:MNBBA:T101R36a:3:10:2010-6-16T7:58:00Z",166,-2.57646854877472
"bam-mn_m:MNBBA:T101R37a:1:10:2010-6-22T8:45:00Z",172,-1.80709142300818
"bam-mn_m:MNBBA:T101R37a:2:10:2010-6-22T9:7:00Z",172,-1.44042475634151
