"Sample_ID","JD","JD2","TSSR","TSSR2","BCR"
"tima:ALA01:2000-09-27T15:2:0Z:37.5948220614:-122.145207523",0.73972602739726,0.547194595608932,0.0423137247838356,0.00179045130508218,32
"tima:ALA01:2000-11-06T15:18:0Z:37.5948220614:-122.145207523",0.849315068493151,0.721336085569525,0.026818742963175,0.000719244974124847,32
"tima:ALA01:2001-01-05T16:30:0Z:37.5948220614:-122.145207523",0.010958904109589,0.000120097579283168,0.0458782054566675,0.00210480973592419,32
"tima:ALA01:2001-03-20T14:50:0Z:37.5948220614:-122.145207523",0.213698630136986,0.0456671045224245,0.0265703343172316,0.000705982665729456,32
"tima:ALA01:2001-04-26T13:56:0Z:37.5948220614:-122.145207523",0.315068493150685,0.0992681553762432,0.0258020952564699,0.000665748119623945,32
"tima:ALA01:2002-05-30T14:20:0Z:37.5948220614:-122.145207523",0.408219178082192,0.1666428973541,0.0627785068226081,0.00394114091887626,32
"tima:ALA01:2003-04-06T15:56:0Z:37.5948220614:-122.145207523",0.26027397260274,0.0677425408144117,0.0896464561229503,0.00803648709540405,32
"tima:ALA01:2003-05-02T15:55:0Z:37.5948220614:-122.145207523",0.331506849315069,0.109896791142804,0.112985843949848,0.0127658009330593,32
"tima:ALA01:2005-04-14T14:23:0Z:37.5948220614:-122.145207523",0.282191780821918,0.0796322011634453,0.0335682337648339,0.00112682631809053,32
"tima:ALA01:2005-05-13T13:32:0Z:37.5948220614:-122.145207523",0.361643835616438,0.13078626383937,0.0217861806132175,0.000474637665711735,32
"tima:ALA02:2000-09-27T15:2:0Z:37.594559436:-122.142847465",0.73972602739726,0.547194595608932,0.0423203125389086,0.0017910088533909,32
"tima:ALA02:2000-11-06T15:18:0Z:37.594559436:-122.142847465",0.849315068493151,0.721336085569525,0.0268256373372343,0.000719614818548818,32
"tima:ALA02:2001-01-05T16:30:0Z:37.594559436:-122.142847465",0.010958904109589,0.000120097579283168,0.0458852553795333,0.00210545666124499,32
"tima:ALA02:2001-03-20T14:50:0Z:37.594559436:-122.142847465",0.213698630136986,0.0456671045224245,0.0265768725535384,0.000706330154727022,32
"tima:ALA02:2001-04-26T13:56:0Z:37.594559436:-122.142847465",0.315068493150685,0.0992681553762432,0.025808346533665,0.000666070750801736,32
"tima:ALA02:2002-05-30T14:20:0Z:37.594559436:-122.142847465",0.408219178082192,0.1666428973541,0.0627845573356306,0.00394190063983109,32
"tima:ALA02:2003-04-06T15:56:0Z:37.594559436:-122.142847465",0.26027397260274,0.0677425408144117,0.0896528631807477,0.00803763587650587,32
"tima:ALA02:2003-05-02T15:55:0Z:37.594559436:-122.142847465",0.331506849315069,0.109896791142804,0.112992055908673,0.0127672046984688,32
"tima:ALA02:2005-04-14T14:15:0Z:37.594559436:-122.142847465",0.282191780821918,0.0796322011634453,0.0280190190838443,0.00078506543042083,32
"tima:ALA02:2005-05-13T13:42:0Z:37.594559436:-122.142847465",0.361643835616438,0.13078626383937,0.0287367613254874,0.000825801451478027,32
"tima:ALA03:2000-09-27T15:2:0Z:37.5942788165:-122.140558484",0.73972602739726,0.547194595608932,0.0423267046665704,0.00179154992793107,32
"tima:ALA03:2000-11-06T15:18:0Z:37.5942788165:-122.140558484",0.849315068493151,0.721336085569525,0.0268323570020773,0.000719975382286926,32
"tima:ALA03:2001-01-05T16:30:0Z:37.5942788165:-122.140558484",0.010958904109589,0.000120097579283168,0.0458921417193832,0.00210608867159195,32
"tima:ALA03:2001-03-20T14:50:0Z:37.5942788165:-122.140558484",0.213698630136986,0.0456671045224245,0.0265832128361971,0.000706667204694556,32
"tima:ALA03:2001-04-26T13:56:0Z:37.5942788165:-122.140558484",0.315068493150685,0.0992681553762432,0.0258143800745408,0.000666382218632848,32
"tima:ALA03:2002-05-30T14:20:0Z:37.5942788165:-122.140558484",0.408219178082192,0.1666428973541,0.0627903759948633,0.00394263131757631,32
"tima:ALA03:2003-04-06T15:56:0Z:37.5942788165:-122.140558484",0.26027397260274,0.0677425408144117,0.0896590632793528,0.00803874762813099,32
"tima:ALA03:2003-05-02T15:55:0Z:37.5942788165:-122.140558484",0.331506849315069,0.109896791142804,0.112998047391022,0.0127685587141836,32
"tima:ALA03:2005-04-14T14:5:0Z:37.5942788165:-122.140558484",0.282191780821918,0.0796322011634453,0.0210807039892232,0.000444396080681251,32
"tima:ALA03:2005-05-13T13:51:0Z:37.5942788165:-122.140558484",0.361643835616438,0.13078626383937,0.0349926718214044,0.00122448708120051,32
"tima:ALA04:2000-09-27T15:2:0Z:37.5938094336:-122.138388012",0.73972602739726,0.547194595608932,0.0423327876172132,0.00179206490744408,32
"tima:ALA04:2000-11-06T15:18:0Z:37.5938094336:-122.138388012",0.849315068493151,0.721336085569525,0.0268389871840676,0.000720331233066543,32
"tima:ALA04:2001-01-05T16:30:0Z:37.5938094336:-122.138388012",0.010958904109589,0.000120097579283168,0.0458990540465823,0.00210672316237108,32
"tima:ALA04:2001-03-20T14:50:0Z:37.5938094336:-122.138388012",0.213698630136986,0.0456671045224245,0.0265892166658132,0.000706986442901559,32
"tima:ALA04:2001-04-26T13:56:0Z:37.5938094336:-122.138388012",0.315068493150685,0.0992681553762432,0.0258198699396518,0.000666665683700532,32
"tima:ALA04:2002-05-30T14:20:0Z:37.5938094336:-122.138388012",0.408219178082192,0.1666428973541,0.062795503841782,0.00394327530274326,32
"tima:ALA04:2003-04-06T15:56:0Z:37.5938094336:-122.138388012",0.26027397260274,0.0677425408144117,0.0896648324970846,0.00803978218673024,32
"tima:ALA04:2003-05-02T15:55:0Z:37.5938094336:-122.138388012",0.331506849315069,0.109896791142804,0.113003466588755,0.012769783461076,32
"tima:ALA04:2005-04-14T14:45:0Z:37.5938094336:-122.138388012",0.282191780821918,0.0796322011634453,0.048864132411502,0.0023877034363288,32
"tima:ALA04:2005-05-13T13:59:0Z:37.5938094336:-122.138388012",0.361643835616438,0.13078626383937,0.0405535102994354,0.00164458719760641,32
"tima:ALA05:2000-09-27T15:2:0Z:37.5932722894:-122.13617702",0.73972602739726,0.547194595608932,0.0423389904435586,0.00179259011177975,32
"tima:ALA05:2000-11-06T15:18:0Z:37.5932722894:-122.13617702",0.849315068493151,0.721336085569525,0.0268458161323711,0.000720697843813075,32
"tima:ALA05:2001-01-05T16:30:0Z:37.5932722894:-122.13617702",0.010958904109589,0.000120097579283168,0.0459062064176908,0.00210737978766364,32
"tima:ALA05:2001-03-20T14:50:0Z:37.5932722894:-122.13617702",0.213698630136986,0.0456671045224245,0.0265953302024691,0.000707311588578366,32
"tima:ALA05:2001-04-26T13:56:0Z:37.5932722894:-122.13617702",0.315068493150685,0.0992681553762432,0.025825395177084,0.000666951036052553,32
"tima:ALA05:2002-05-30T14:20:0Z:37.5932722894:-122.13617702",0.408219178082192,0.1666428973541,0.0628006143785185,0.00394391716631939,32
"tima:ALA05:2003-04-06T15:56:0Z:37.5932722894:-122.13617702",0.26027397260274,0.0677425408144117,0.0896706775341321,0.0080408304094303,32
"tima:ALA05:2003-05-02T15:55:0Z:37.5932722894:-122.13617702",0.331506849315069,0.109896791142804,0.113008910904604,0.0127710139438447,32
"tima:ALA05:2005-04-14T14:55:0Z:37.5932722894:-122.13617702",0.282191780821918,0.0796322011634453,0.0558142861641116,0.00311523454000933,32
"tima:ALA05:2005-05-13T14:8:0Z:37.5932722894:-122.13617702",0.361643835616438,0.13078626383937,0.0468087985366583,0.00219106362044546,32
