"Sample_ID","JD","TSSR"
"grass_m:12UXA14:18:2018-6-18T5:44:00Z:50.047871:-109.40435",168,-5.3939192949401
"grass_m:12UXA14:19:2018-6-18T6:30:00Z:50.018761:-109.36055",168,-4.62682144734595
"grass_m:12UXA64:02:2018-6-15T8:3:00Z:50.07188:-108.666847",165,-3.02567246920533
"grass_m:12UXA64:03:2018-6-15T5:13:00Z:50.077034:-108.743782",165,-5.86369558460183
"grass_m:12UXA64:04:2018-6-15T6:35:00Z:50.016823:-108.712303",165,-4.50005089316103
"grass_m:12UXA64:05:2018-6-15T7:45:00Z:50.054123:-108.644035",165,-3.32566319889492
"grass_m:12UXA64:06:2018-6-15T5:27:00Z:50.04784:-108.715645",165,-5.63097142782476
"grass_m:12UXA64:07:2018-6-15T7:16:00Z:50.018738:-108.630783",165,-3.81112054500315
"grass_m:12UXA64:08:2018-6-15T6:56:00Z:50.020557:-108.689537",165,-4.14821618358294
"grass_m:12UXA64:09:2018-6-15T5:2:00Z:50.077026:-108.756676",165,-6.04788916091124
"grass_m:12UXA64:10:2018-6-15T7:35:00Z:50.045418:-108.64962",165,-3.49344259281953
"grass_m:12UXA64:11:2018-6-15T6:25:00Z:49.998924:-108.712303",165,-4.6682363904847
"grass_m:12UXA64:12:2018-6-15T6:46:00Z:50.009716:-108.702637",165,-4.31667644004027
"grass_m:12UXA64:13:2018-6-15T7:26:00Z:50.033337:-108.644287",165,-3.64411403311623
"grass_m:12UXA64:14:2018-6-15T7:54:00Z:50.070313:-108.644012",165,-3.1742836467425
"grass_m:12UXA64:15:2018-6-15T5:41:00Z:50.036224:-108.735092",165,-5.39992208156321
"grass_m:12UXA64:16:2018-6-15T6:8:00Z:50.041779:-108.7351",165,-4.94945041610135
"grass_m:12UXA69:01:2018-6-16T4:58:00Z:50.459522:-108.639793",166,-6.07306271758344
"grass_m:12UXA69:02:2018-6-16T6:4:00Z:50.457302:-108.708771",166,-4.97785494161977
"grass_m:12UXA69:03:2018-6-16T6:16:00Z:50.451015:-108.731583",166,-4.77992430627346
"grass_m:12UXA69:04:2018-6-16T5:44:00Z:50.461067:-108.685577",166,-5.30931341211001
"grass_m:12UXA69:05:2018-6-16T5:32:00Z:50.441402:-108.641769",166,-5.50810854838954
"grass_m:12UXA69:06:2018-6-16T7:0:00Z:50.499462:-108.699219",166,-4.04020090527005
"grass_m:12UXA69:07:2018-6-16T6:29:00Z:50.484844:-108.704163",166,-4.55847549292776
"grass_m:12UXA69:08:2018-6-16T7:10:00Z:50.499409:-108.662704",166,-3.87110457883941
"grass_m:12UXA69:09:2018-6-16T5:53:00Z:50.466442:-108.685577",166,-5.15884414447678
"grass_m:12UXA69:10:2018-6-16T5:8:00Z:50.455688:-108.629501",166,-5.90604453874959
"grass_m:12UXA69:11:2018-6-16T7:29:00Z:50.513916:-108.656738",166,-3.55277050263352
"grass_m:12UXA69:12:2018-6-16T6:42:00Z:50.513992:-108.737854",166,-4.3415048323075
"grass_m:12UXA69:13:2018-6-16T5:21:00Z:50.441105:-108.657883",166,-5.69254202882449
"grass_m:12UXA69:16:2018-6-16T7:19:00Z:50.488205:-108.662704",166,-3.72208444807265
"grass_m:12UXA69:18:2018-6-16T7:55:00Z:50.469959:-108.708733",166,-3.12674738897218
"grass_m:12UXB21:02:2018-6-19T5:37:00Z:50.680569:-109.285545",169,-5.44917496177885
"grass_m:12UXB21:03:2018-6-19T5:52:00Z:50.670017:-109.282318",169,-5.1998970086707
"grass_m:12UXB21:06:2018-6-19T5:21:00Z:50.692829:-109.281395",169,-5.71447531335884
"grass_m:12UXB21:11:2018-6-19T5:59:00Z:50.661617:-109.282524",169,-5.08398972756333
"grass_m:12UXB21:13:2018-6-19T6:7:00Z:50.659653:-109.291733",169,-4.95144466744529
"grass_m:12UXB21:14:2018-6-19T5:7:00Z:50.706238:-109.277",169,-5.9463229824437
"grass_m:12UXB21:15:2018-6-19T5:45:00Z:50.67482:-109.281876",169,-5.316107689076
"grass_m:12UXB21:16:2018-6-19T4:57:00Z:50.713238:-109.280441",169,-6.11259609427717
"grass_m:12UXB21:17:2018-6-19T5:29:00Z:50.685814:-109.285339",169,-5.58202849944433
"grass_m:12UXB21:18:2018-6-19T6:15:00Z:50.659649:-109.299103",169,-4.81860306435161
"grass_m:12UXB21:19:2018-6-19T5:14:00Z:50.697609:-109.279152",169,-5.83056739283933
"grass_m:12UXB26:01:2018-6-21T5:35:00Z:51.085903:-109.236595",171,-5.44847032103274
"grass_m:12UXB26:02:2018-6-21T6:9:00Z:51.090015:-109.190071",171,-4.87832698219352
"grass_m:12UXB26:03:2018-6-21T5:26:00Z:51.080311:-109.236588",171,-5.59897913323508
"grass_m:12UXB26:04:2018-6-21T5:11:00Z:51.100666:-109.283127",171,-5.85022760000494
"grass_m:12UXB26:05:2018-6-21T6:19:00Z:51.09623:-109.17865",171,-4.71033244298564
"grass_m:12UXB26:06:2018-6-21T6:38:00Z:51.125561:-109.166847",171,-4.39020308554173
"grass_m:12UXB26:07:2018-6-21T5:41:00Z:51.092167:-109.236603",171,-5.34790017214086
"grass_m:12UXB26:08:2018-6-21T7:12:00Z:51.135338:-109.16684",171,-3.82264300472207
"grass_m:12UXB26:09:2018-6-21T6:28:00Z:51.104382:-109.166862",171,-4.55880326668421
"grass_m:12UXB26:10:2018-6-21T5:52:00Z:51.092453:-109.213333",171,-5.16298920816845
"grass_m:12UXB26:11:2018-6-21T6:57:00Z:51.125317:-109.147781",171,-4.07228743692239
"grass_m:12UXB26:12:2018-6-21T6:0:00Z:51.096237:-109.200081",171,-5.02842742244403
"grass_m:12UXB26:13:2018-6-21T5:0:00Z:51.084553:-109.283081",171,-6.0350261566374
"grass_m:12UXB26:14:2018-6-21T7:20:00Z:51.150227:-109.166824",171,-3.68794776413176
"grass_m:12UXB26:15:2018-6-21T6:47:00Z:51.125324:-109.155197",171,-4.23944793972704
"grass_m:12UXB95:01:2018-6-22T6:16:00Z:51.003334:-108.259911",172,-4.71157372507784
"grass_m:12UXB95:03:2018-6-22T5:25:00Z:50.979774:-108.236717",172,-5.56216069307592
"grass_m:12UXB95:04:2018-6-22T5:50:00Z:50.998009:-108.236679",172,-5.14384044819408
"grass_m:12UXB95:05:2018-6-22T6:7:00Z:51.008865:-108.275383",172,-4.86210407892863
"grass_m:12UXB95:06:2018-6-22T5:40:00Z:50.979752:-108.218689",172,-5.3109605940183
"grass_m:12UXB95:08:2018-6-22T6:44:00Z:50.985786:-108.166954",172,-4.240298151705
"grass_m:12UXB95:09:2018-6-22T6:32:00Z:51.016415:-108.167",172,-4.43752597245905
"grass_m:12UXB95:10:2018-6-22T5:58:00Z:51.008198:-108.236656",172,-5.0095822618405
"grass_m:12UXB95:11:2018-6-22T5:32:00Z:50.979763:-108.227173",172,-5.44485863698853
"grass_m:12UXB95:12:2018-6-22T6:52:00Z:50.979778:-108.159836",172,-4.10703397916423
"grass_m:12UXB95:13:2018-6-22T4:59:00Z:50.983242:-108.283218",172,-5.99828080508444
"grass_m:12UXB95:14:2018-6-22T5:8:00Z:50.972988:-108.283211",172,-5.84920816706287
"grass_m:12UXB95:15:2018-6-22T5:18:00Z:50.979755:-108.248146",172,-5.67959115399255
"grass_m:12UXB95:16:2018-6-22T6:59:00Z:50.970387:-108.166969",172,-3.99169252157211
"grass_m:12UXB95:18:2018-6-22T7:16:00Z:51.000256:-108.283196",172,-3.7134052510394
"grass_m:12UXF03:02:2018-5-29T5:36:00Z:54.412823:-109.3964",148,-5.27990184704463
"grass_m:12UXF03:03:2018-5-29T5:50:00Z:54.415245:-109.334091",148,-5.04217791106966
"grass_m:12UXF03:04:2018-5-29T5:15:00Z:54.409569:-109.432343",148,-5.63261838085122
"grass_m:12UXF03:06:2018-5-29T5:0:00Z:54.430355:-109.35907",148,-5.87567812369929
"grass_m:12UXF03:09:2018-5-29T5:30:00Z:54.412788:-109.411736",148,-5.38092693401708
"grass_m:12UXF03:25:2018-5-29T5:42:00Z:54.412849:-109.375694",148,-5.17851992388566
"grass_m:12UXF03:28:2018-5-29T5:22:00Z:54.411453:-109.422409",148,-5.51510343723827
"grass_m:12UXV03:04:2018-5-29T7:15:00Z:49.04483:-109.524216",148,-4.09112016353342
"grass_m:12UXV03:08:2018-5-29T6:49:00Z:49.053978:-109.545662",148,-4.52522087931633
"grass_m:12UXV03:19:2018-5-29T6:29:00Z:49.0923:-109.545624",148,-4.85577701780531
"grass_m:12UXV04:02:2018-5-28T5:25:00Z:49.175121:-109.548248",147,-5.93049505770206
"grass_m:12UXV04:12:2018-5-28T5:11:00Z:49.187126:-109.548264",147,-6.16296423349116
"grass_m:12UXV04:14:2018-5-29T5:42:00Z:49.137047:-109.545631",148,-5.63586407416397
"grass_m:12UXV04:22:2018-5-29T5:18:00Z:49.170303:-109.545692",148,-6.03345033321116
"grass_m:12UXV04:23:2018-5-29T5:30:00Z:49.152531:-109.545631",148,-5.83473885622289
"grass_m:12UXV04:24:2018-5-28T5:37:00Z:49.174332:-109.563934",147,-5.73159701651997
"grass_m:12UXV04:25:2018-5-29T5:55:00Z:49.118462:-109.545631",148,-5.42054679652055
"grass_m:12UXV04:26:2018-5-29T6:12:00Z:49.106834:-109.545631",148,-5.13805707746082
"grass_m:12UXV04:27:2018-5-28T5:47:00Z:49.174335:-109.580406",147,-5.56602761533525
"grass_m:12UXV13:01:2018-5-29T8:5:00Z:49.043083:-109.469093",148,-3.25424032575554
"grass_m:12UXV13:21:2018-5-29T7:46:00Z:49.04332:-109.485542",148,-3.57198584397634
"grass_m:12UXV13:22:2018-5-29T8:21:00Z:49.038303:-109.456642",148,-2.98708957526419
"grass_m:12UXV14:01:2017-6-10T8:40:00Z:49.125614:-109.362709",160,-2.54667637672689
"grass_m:12UXV14:02:2017-6-10T6:3:00Z:49.174328:-109.404877",160,-5.1622794238064
"grass_m:12UXV14:04:2017-6-10T6:20:00Z:49.166653:-109.412148",160,-4.88004180385007
