"Sample_ID","OD","TSSR","BCR"
"new-england_m:NEWENG:MA:MIMA-13-03:2011:1:2011-06-07TNA:NA:0Z:42.45023:-71.294389",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-04:2006:1:2006-06-21T9:55:0Z:42.4508:-71.297393",171,0.782528709040748,30
"new-england_m:NEWENG:MA:MIMA-13-04:2007:1:2007-06-17T9:33:0Z:42.4508:-71.297393",167,0.425862320860227,30
"new-england_m:NEWENG:MA:MIMA-13-04:2008:1:2008-06-14T9:58:0Z:42.4508:-71.297393",165,0.843651223315133,30
"new-england_m:NEWENG:MA:MIMA-13-04:2009:1:2009-06-13TNA:NA:0Z:42.4508:-71.297393",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-04:2010:1:2010-06-09TNA:NA:0Z:42.4508:-71.297393",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-04:2011:1:2011-06-07TNA:NA:0Z:42.4508:-71.297393",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-05:2006:1:2006-06-21T10:2:0Z:42.452835:-71.297514",171,0.899309204551909,30
"new-england_m:NEWENG:MA:MIMA-13-05:2007:1:2007-06-17T9:21:0Z:42.452835:-71.297514",167,0.22597568280167,30
"new-england_m:NEWENG:MA:MIMA-13-05:2008:1:2008-06-14T9:59:0Z:42.452835:-71.297514",165,0.860430660777622,30
"new-england_m:NEWENG:MA:MIMA-13-05:2009:1:2009-06-13TNA:NA:0Z:42.452835:-71.297514",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-05:2010:1:2010-06-09TNA:NA:0Z:42.452835:-71.297514",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-05:2011:1:2011-06-07TNA:NA:0Z:42.452835:-71.297514",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-06:2006:1:2006-06-21T10:5:0Z:42.454634:-71.298247",171,0.94936809917291,30
"new-england_m:NEWENG:MA:MIMA-13-06:2007:1:2007-06-17T9:32:0Z:42.454634:-71.298247",167,0.409367502000597,30
"new-england_m:NEWENG:MA:MIMA-13-06:2008:1:2008-06-14T9:55:0Z:42.454634:-71.298247",165,0.793821959561772,30
"new-england_m:NEWENG:MA:MIMA-13-06:2009:1:2009-06-13T9:37:0Z:42.454634:-71.298247",163,0.493142067657577,30
"new-england_m:NEWENG:MA:MIMA-13-06:2010:1:2010-06-09TNA:NA:0Z:42.454634:-71.298247",NA,NA,NA
