"Sample_ID","lat.y","lon.y","Shape..","NEAR_FID","NEAR_DIST","TNMFRC","definition","staticOID","Needleleaf_3x3","Needleleaf_5x5","Broadleaf_3x3","Broadleaf_5x5","MixedForest_3x3","MixedForest_5x5","ForestOnly_3x3","ForestOnly_5x5","ForestWetland_3x3","ForestWetland_5x5","Wetland_3x3","Wetland_5x5"
"mnbba:T160R50a:2011-06-19T11:14:0Z:48.7040376081746:-97.065830459952",48.704038,-97.06583,"Point",62033,4.155672,"4","Local Road",4787,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T155R50a:2011-06-10T14:4:0Z:48.2532230681457:-97.0278704199815",48.253223,-97.02787,"Point",86707,1.925325,"4","Local Road",3340,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T152R50a:2009-06-19T13:33:0Z:48.0072192385166:-96.9993626868291",48.007219,-96.999363,"Point",119024,11.764066,"4","Local Road",5419,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T152R50a:2009-06-19T13:51:0Z:48.0111482340948:-96.9992855284582",48.011148,-96.999286,"Point",123636,2.489663,"4","Local Road",4156,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T159R50a:2011-06-19T9:57:0Z:48.6024137388417:-97.0451509699434",48.602414,-97.045151,"Point",64107,1.485422,"4","Local Road",4553,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T160R50a:2011-06-19T10:59:0Z:48.7042627482296:-97.0467250899403",48.704263,-97.046725,"Point",64613,0.909142,"4","Local Road",2071,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T163R50a:2011-06-19T14:29:0Z:48.9547769585844:-97.0624224699319",48.954777,-97.062422,"Point",62451,1.518727,"4","Local Road",4964,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T125R49a:2009-06-13T11:44:0Z:45.6440837970108:-96.8080178572107",45.644084,-96.808018,"Point",558157,0.258521,"4","Local Road",5068,0,0,0,0,0,0,0,0,1,4,1,4
"mnbba:T125R49a:2009-06-13T11:29:0Z:45.6441303640642:-96.7988119659118",45.64413,-96.798812,"Point",556666,1.392805,"4","Local Road",4621,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T124R49a:2009-06-13T12:24:0Z:45.5747152368657:-96.7822281657099",45.574715,-96.782228,"Point",386160,0.127818,"4","Local Road",2344,0,0,1,4,0,0,1,4,1,4,0,0
"mnbba:T125R49a:2009-06-13T11:13:0Z:45.6407912927961:-96.7818627787035",45.640791,-96.781863,"Point",558475,8.221668,"4","Local Road",1909,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T150R49a:2009-06-19T10:14:0Z:47.8080582541939:-96.9313534927808",47.808058,-96.931353,"Point",121525,7.143218,"4","Local Road",5129,0,0,0,0,0,0,0,0,4,15,4,15
"mnbba:T124R49a:2009-06-13T13:7:0Z:45.5588499326115:-96.761531370101",45.55885,-96.761531,"Point",385023,0.872499,"4","Local Road",5943,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T149R49a:2009-06-16T14:14:0Z:47.7317760269544:-96.9151582878748",47.731776,-96.915158,"Point",122472,36.866282,"4","Local Road",4665,0,0,0,0,0,0,0,0,3,6,3,6
"mnbba:T124R49a:2009-06-13T12:45:0Z:45.5745990830653:-96.761646211588",45.574599,-96.761646,"Point",385666,1.822987,"4","Local Road",2120,0,0,0,0,0,0,0,0,1,4,1,4
