Sample_ID,roaddist,Coniferous_3x3,Deciduous_3x3,ForestOnly_3x3,ForestWetland_3x3,MixedForest_3x3,Wetland_3x3,Coniferous_5x5,Deciduous_5x5,ForestOnly_5x5,ForestWetland_5x5,MixedForest_5x5,Wetland_5x5
bam-mn_m:MNBBA:T101R24a:2:10:2010-6-10T6:37:00Z,546235.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R24a:3:10:2010-6-10T6:51:00Z,547001.8125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R25a:1:10:2010-6-10T7:15:00Z,548049.1875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R25a:2:10:2010-6-10T7:28:00Z,548626.75,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R26a:1:10:2010-5-28T8:50:00Z,550496.125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R26a:2:10:2010-5-28T9:5:00Z,550976.9375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R26a:3:10:2010-5-28T9:21:00Z,549587.25,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R27a:1:10:2010-5-28T7:50:00Z,553393.25,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R27a:2:10:2010-5-28T8:5:00Z,552972.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R27a:3:10:2010-5-28T8:22:00Z,550674.4375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R28a:1:10:2010-5-28T7:15:00Z,552825.0625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R28a:2:10:2010-5-28T6:50:00Z,552798.5625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R28a:3:10:2010-5-28T6:30:00Z,551125.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R29a:1:11:2011-5-27T8:30:00Z,551704.9375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R29a:2:11:2011-5-27T8:45:00Z,551223.0625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R29a:3:11:2011-5-27T8:12:00Z,551676.875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R30a:1:11:2011-5-27T7:42:00Z,552653.25,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R30a:2:11:2011-5-27T7:25:00Z,551514.125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R30a:3:11:2011-5-27T7:5:00Z,550637.875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R31a:1:11:2011-5-28T5:15:00Z,552460.75,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R31a:2:11:2011-5-28T5:45:00Z,553777.1875,0,0,0,0,0,0,0,0,0,0,0,0
